repo,score
EvaGupta02/AESEncryption,30.0
aleixmorgadas/thin-ports-and-adapters,30.0
Tushar-Kapil/DSA-Notes,30.0
nilsreichardt/gad24-tests,397.5
ItziSpyder/ImproperUI,447.5
Gayanukaa/Spring-Boot-Playground,90.0
ENATION-UK/page-builder,80.0
ThomasVitale/langchain4j-spring-boot,917.5
jon-mil-92/DisplayHotKeys,430.0
amaseng/myinvois-open-sdk,217.5
sqlparser/java_data_lineage,42.5
uaoan/DkPlayer,217.5
appujet/jiosaavn-plugin,1032.5
MEEPofFaith/hallucinogen,430.0
arconia-io/arconia,392.5
dee-coder01/BusBuddy,457.5
ax1sX/RouteCheck-Alpha,122.5
LadyJessie19/MyFood,30.0
thomasdarimont/keycloak-opa-authz-demo,37.5
ErayMert/microservice-log-tracing,30.0
retoocs007/JavaSysMonitor,392.5
lhccong/sql-slow-mirror,80.0
5ec1cff/CopySign,30.0
digitalfondue/mjml4j,122.5
ZahidFKhan/Streams-API-Practices,37.5
beyond-aion/aion-server,190.0
SearchScale/lucene-cuvs,232.5
borjavb/bq-lineage-tool,42.5
MetaGLM/zhipuai-sdk-java-v4,590.0
chiteroman/FrameworkPatch,95.0
xdev-software/testcontainers-junit4-mock,767.5
habuma/spring-ai-examples,80.0
C0de-cake/airbnb-clone-backend,60.0
CRLauncher/CRLauncher,2612.5
Hunterdii/GeeksforGeeks-POTD,127.5
HChenX/HookTool,1407.5
Lambdua/openai4j,1540.0
jd-opensource/joylive-agent,1757.5
CollaBu/pennyway-was,4677.5
lavalink-devs/youtube-source,1785.0
sahilshelangia/system-design,30.0
garlic-bred/easy-bedrock-breaker,102.5
Ahmad45123/workup,892.5
SarthakChaudhary46/100-Days-Of-CODE,30.0
ahmedaliibrahim01/TourismAgencyManagementSystem,30.0
linux-china/sieve-cache,92.5
Keremyardan/Tourism_Agency_Java_Swing,30.0
Stark-8/text-encryption-AES,30.0
5cmc/grim-trident,255.0
Kir-Antipov/cubes-without-borders,1910.0
Hejow/easy-restdocs-generator,267.5
Bram1903/AntiHealthIndicator,902.5
harryjackson/llm.java,90.0
CRANKV2/STRP-Profile-App,30.0
ThomasVitale/llm-apps-java-langchain4j,30.0
GizaSystems/AutomationExercisePractice,532.5
glaforge/gemini-workshop-for-java-developers,100.0
xyzbtw/StashMoverPlugin,300.0
ErrorxCode/JxInsta,152.5
sweelam/api-design-and-management-talk,157.5
halilibrahimsaltas/TourismAgency,30.0
YunaBraska/streamline,942.5
GeyserExtras/GeyserExtras,512.5
phyce/rl-natural-speech,372.5
eclipse-4diac/4diac-ide,6540.0
babyfish-ct/jimmer-examples,37.5
Vadym79/AWSLambdaJavaWithSpringBoot,30.0
GreenJAB/fixed-minecraft,227.5
CleanroomMC/Fugue,3195.0
ThomasVitale/llm-apps-java-spring-ai,65.0
jinganix/guess,455.0
find-xposed-magisk/LSPatch,122.5
walimorris/opensquare,30.0
yiyuan9/abitoflink,277.5
findhumane/react-native-threaded-downloader,80.0
xyzeva/ender-relay,205.0
chamaadesilva/BookWorm-Library_Management_System,30.0
Gayanukaa/companyA-backend,575.0
ljmc2000/NoiseLooper,540.0
prakarshs/Jhethia,67.5
yangfeng20/ja-netfilter,42.5
Alexdoru/ExampleMod1.8.9,30.0
duckietm/Arcturus-Morningstar-Extended,75.0
mpi-sws-rse/jmc,30.0
jetty/jetty-examples,725.0
JustAlittleWolf/ModDetectionPreventer,242.5
danvega/spring-into-ai,37.5
DevBobcorn/AcryliCraft,847.5
NguyenDuck/blocktopograph,327.5
Cvrws/Haru,330.0
HexArchBook/bluezone_pro,30.0
burukeYou/fast-retry,55.0
LizeRaes/feedback-analyzer,157.5
galliumdata/adumbra,60.0
EasyG0ing1/Migration,192.5
shnok/l2-unity-gameserver,635.0
karatelabs/karate-js,55.0
sepgh/testudo,90.0
thedarkcolour/ForestryCE,607.5
pinterest/tiered-storage,345.0
Netflix/maestro,432.5
apache/spark-kubernetes-operator,1140.0
Katana-Official/Meta,817.5
Krishna18062005/Problem-Solving-Day-101-250,45.0
stephanj/rag-genie,155.0
dnwwdwd/homieMatching,100.0
PamodRathnayake/Social-media-platform-with-API-Master-of-Spring-Boot,30.0
gz10177lg/Light-Benchmark,90.0
Anjaligaddamidi/javalab,45.0
MirnaGama/hospital-management-api,442.5
xflow3r/EP2-solutions,42.5
administrateclouds/animations,75.0
jonas-grgt/bob,520.0
StyraInc/opa-java,3060.0
serifpersia/esp32partitiontool,390.0
stuetzlec/merrimack_cs_examples,30.0
koppor/github-contributors-list,502.5
MiranCZ/altoclef,955.0
javpower/easy-flv,87.5
ZJU-ACES-ISE/ChatTester,30.0
vesavvo/design_patterns,30.0
gayanukabulegoda/Hibernate-ORM-Lesson,217.5
KarinJS/QwQ,45.0
DJ-Raven/java-messenger,52.5
Finally-A-Decent/Fadah,1322.5
OGminso/ChatHeadFont,245.0
Yanyutin753/refresh-gpt-chat,542.5
MehVahdJukaar/polytone,635.0
firstfault/Trinity,182.5
lgdd/liferay-client-extensions-samples,37.5
DHD2280/BCR-Manager,557.5
xdev-software/spring-data-eclipse-store,2362.5
EmbarkXOfficial/Spring-Security-Course,37.5
VanceVagell/kv4p-ht,1470.0
catchpoint/Tracing.examples-kubernetes-java,75.0
SUDHARSUN2003/Accident-Detection-And-Notification,30.0
vdaburon/har-convertor-jmeter-plugin,492.5
oldmanpushcart/qianfan4j,80.0
yint-tech/ProxyCompose,30.0
undermad/diet-generator-api,247.5
970263611/redisx,492.5
KhushPatibandha/RiceDB,60.0
ismael221/OpenStreamify,127.5
1brc/nodejs,52.5
StarRocks/SQLTransformer,50.0
MaysHroub/data-structures,30.0
VictorModi/Lyrics-Getter-Ext,230.0
valkey-io/valkey-java,265.0
MoeStick/Polar-client,80.0
igor-pcholkin/DataAnonymization,80.0
Araykal/Open-Karhu,137.5
SleepyFish-YT/Nemui,230.0
HeliosMinecraft/HeliosClient,80.0
